dataset,comparator,metric,fold_count,fedsift_minus_comparator_mean,fedsift_minus_comparator_sd,fedsift_minus_comparator_ci95_low_t,fedsift_minus_comparator_ci95_high_t,benefit_oriented_mean,benefit_oriented_sd,benefit_oriented_ci95_low_t,benefit_oriented_ci95_high_t
retinopathy,fedsift_uniform_schedule,auroc,5,-0.001197669080515973,0.0027373872852006526,-0.00459658432169037,0.002201246160658423,-0.001197669080515973,0.0027373872852006526,-0.00459658432169037,0.002201246160658423
retinopathy,fedsift_uniform_schedule,average_precision,5,-0.0014897235484269133,0.0053508257395442635,-0.00813365122988107,0.005154204133027243,-0.0014897235484269133,0.0053508257395442635,-0.00813365122988107,0.005154204133027243
retinopathy,fedsift_uniform_schedule,balanced_accuracy,5,0.002894397796436965,0.007267868227741756,-0.006129852525638987,0.011918648118512917,0.002894397796436965,0.007267868227741756,-0.006129852525638987,0.011918648118512917
retinopathy,fedsift_uniform_schedule,brier_score,5,0.0012096663427391351,0.0019973631833473723,-0.0012703876133609657,0.003689720298839236,-0.0012096663427391351,0.0019973631833473723,-0.003689720298839236,0.0012703876133609657
retinopathy,fedsift_uniform_schedule,f1,5,-0.002934537391842751,0.01979782389076183,-0.027516782559780132,0.02164770777609463,-0.002934537391842751,0.01979782389076183,-0.027516782559780132,0.02164770777609463
retinopathy,fedsift_uniform_schedule,log_loss,5,0.002658080604809321,0.010386240262565467,-0.010238140005912654,0.015554301215531295,-0.002658080604809321,0.010386240262565467,-0.015554301215531295,0.010238140005912654
retinopathy,fedsift_uniform_schedule,mcc,5,-0.002141423088692712,0.0222689298124975,-0.02979195151539741,0.025509105338011984,-0.002141423088692712,0.0222689298124975,-0.02979195151539741,0.025509105338011984
retinopathy,fedsift_uniform_schedule,npv,5,-0.016819200515520327,0.0580750558939543,-0.08892890661271484,0.055290505581674185,-0.016819200515520327,0.0580750558939543,-0.08892890661271484,0.055290505581674185
retinopathy,fedsift_uniform_schedule,ppv,5,0.0005550110729472202,0.01146192797890499,-0.013676852248463565,0.014786874394358007,0.0005550110729472202,0.01146192797890499,-0.013676852248463565,0.014786874394358007
retinopathy,fedsift_uniform_schedule,sensitivity,5,-0.01643342662934828,0.07305626169020356,-0.1071447566134271,0.07427790335473053,-0.01643342662934828,0.07305626169020356,-0.1071447566134271,0.07427790335473053
retinopathy,fedsift_uniform_schedule,specificity,5,0.022222222222222237,0.07981245162781461,-0.07687802557241477,0.12132247001685925,0.022222222222222237,0.07981245162781461,-0.07687802557241477,0.12132247001685925
retinopathy,fedsift_without_sift,auroc,5,-0.00196464624026933,0.004059557680692784,-0.007005252861017142,0.003075960380478482,-0.00196464624026933,0.004059557680692784,-0.007005252861017142,0.003075960380478482
retinopathy,fedsift_without_sift,average_precision,5,-0.0036610577036880754,0.006513069401310161,-0.011748101497097463,0.004425986089721312,-0.0036610577036880754,0.006513069401310161,-0.011748101497097463,0.004425986089721312
