dataset,method,metric,direction,fold_count,mean,sd,ci95_low_t,ci95_high_t
retinopathy,fedsift_public_argmin_rule,sensitivity,higher,5,0.8675329868052779,0.07397359968059744,0.7756826312643424,0.9593833423462134
retinopathy,fedsift_public_argmin_rule,specificity,higher,5,0.32222222222222224,0.1914898988048907,0.084456108856507,0.5599883355879375
retinopathy,fedsift_uniform_schedule,auroc,higher,5,0.7043174088389336,0.03257790461721654,0.6638665975388195,0.7447682201390476
retinopathy,fedsift_uniform_schedule,average_precision,higher,5,0.7602734647605989,0.03484480845549245,0.7170079205771077,0.80353900894409
retinopathy,fedsift_uniform_schedule,balanced_accuracy,higher,5,0.5903342366757001,0.05353815724218662,0.5238578342979047,0.6568106390534955
retinopathy,fedsift_uniform_schedule,brier_score,lower,5,0.22656512080946353,0.010162637627125779,0.2139465395410705,0.23918370207785655
retinopathy,fedsift_uniform_schedule,f1,higher,5,0.7009641410036981,0.009825361001026578,0.688764343979368,0.7131639380280281
retinopathy,fedsift_uniform_schedule,log_loss,lower,5,0.6593277662453957,0.03250114163527193,0.618972268776357,0.6996832637144343
retinopathy,fedsift_uniform_schedule,mcc,higher,5,0.22036820031454196,0.0856013489996895,0.11408008706395151,0.3266563135651324
retinopathy,fedsift_uniform_schedule,npv,higher,5,0.6806287243250442,0.03505412996820493,0.6371032731551683,0.72415417549492
retinopathy,fedsift_uniform_schedule,ppv,higher,5,0.5960131326477389,0.056319711967352235,0.5260829739086719,0.665943291386806
retinopathy,fedsift_uniform_schedule,sensitivity,higher,5,0.8658536585365854,0.08651838219687627,0.7584268981798904,0.9732804188932803
retinopathy,fedsift_uniform_schedule,specificity,higher,5,0.31481481481481477,0.190322266584208,0.07849850834066396,0.5511311212889656
retinopathy,fedsift_without_sift,auroc,higher,5,0.705084385998687,0.03385784977958087,0.66304431287079,0.7471244591265839
retinopathy,fedsift_without_sift,average_precision,higher,5,0.76244479891586,0.03560759091436123,0.7182321352147302,0.8066574626169899
retinopathy,fedsift_without_sift,balanced_accuracy,higher,5,0.5980974276955884,0.050131989208758956,0.5358503415367326,0.6603445138544441
retinopathy,fedsift_without_sift,brier_score,lower,5,0.22896064185022885,0.007266085674654123,0.2199386048601467,0.237982678840311
retinopathy,fedsift_without_sift,f1,higher,5,0.699536105790997,0.01644690511374178,0.6791145758293904,0.7199576357526036
retinopathy,fedsift_without_sift,log_loss,lower,5,0.6880986265793225,0.06505448349501636,0.6073228165018196,0.7688744366568254
retinopathy,fedsift_without_sift,mcc,higher,5,0.22740463688844983,0.08531396720859187,0.12147335526160462,0.33333591851529504
retinopathy,fedsift_without_sift,npv,higher,5,0.6682671425719257,0.038519000826551644,0.6204394859988154,0.7160947991450359
retinopathy,fedsift_without_sift,ppv,higher,5,0.6006572885935068,0.046706759027749595,0.5426631874359713,0.6586513897510422
retinopathy,fedsift_without_sift,sensitivity,higher,5,0.8461948553911769,0.06804770695871551,0.76170246750022,0.9306872432821338
retinopathy,fedsift_without_sift,specificity,higher,5,0.35,0.1597591208049922,0.15163285131175486,0.5483671486882451
